"state_name","year","Value"
"KENTUCKY",1900,17
"LOUISIANA",1900,13
"MAINE",1900,15
"MARYLAND",1900,34
"MASSACHUSETTS",1900,50
"MICHIGAN",1900,33
"MINNESOTA",1900,26
"MISSISSIPPI",1900,8
"MISSOURI",1900,25
"MONTANA",1900,5
"NEBRASKA",1900,19
"NEVADA",1900,6
"NEW HAMPSHIRE",1900,19
"NEW JERSEY",1900,57
"NEW MEXICO",1900,4
"NEW YORK",1900,39
"NORTH CAROLINA",1900,9
"NORTH DAKOTA",1900,13
"OHIO",1900,42
"OKLAHOMA",1900,7
"OREGON",1900,13
"PENNSYLVANIA",1900,46
"RHODE ISLAND",1900,51
"SOUTH CAROLINA",1900,9
"SOUTH DAKOTA",1900,12
"TENNESSEE",1900,13
"TEXAS",1900,6
"UTAH",1900,12
"VERMONT",1900,18
"VIRGINIA",1900,14
"WASHINGTON",1900,14
"WEST VIRGINIA",1900,16
"WISCONSIN",1900,35
"WYOMING",1900,3
"ALABAMA",1910,14
"ARIZONA",1910,38
"ARKANSAS",1910,18
"CALIFORNIA",1910,52
"COLORADO",1910,30
"CONNECTICUT",1910,63
"DELAWARE",1910,51
"FLORIDA",1910,22
"GEORGIA",1910,18
"IDAHO",1910,46
"ILLINOIS",1910,108
"INDIANA",1910,75
"IOWA",1910,96
"KANSAS",1910,40
"KENTUCKY",1910,29
"LOUISIANA",1910,23
"MAINE",1910,25
"MARYLAND",1910,48
"MASSACHUSETTS",1910,68
"MICHIGAN",1910,48
"MINNESOTA",1910,46
"MISSISSIPPI",1910,18
"MISSOURI",1910,50
"MONTANA",1910,19
"NEBRASKA",1910,47
"NEVADA",1910,15
"NEW HAMPSHIRE",1910,26
"NEW JERSEY",1910,84
"NEW MEXICO",1910,10
"NEW YORK",1910,54
"NORTH CAROLINA",1910,20
"NORTH DAKOTA",1910,29
"OHIO",1910,69
"OKLAHOMA",1910,26
"OREGON",1910,39
"PENNSYLVANIA",1910,56
"RHODE ISLAND",1910,63
"SOUTH CAROLINA",1910,25
"SOUTH DAKOTA",1910,39
"TENNESSEE",1910,24
"TEXAS",1910,16
"UTAH",1910,35
"VERMONT",1910,24
"VIRGINIA",1910,27
"WASHINGTON",1910,49
"WEST VIRGINIA",1910,26
"WISCONSIN",1910,57
"WYOMING",1910,11
"ALABAMA",1911,14
"ARIZONA",1911,37
"ARKANSAS",1911,18
"CALIFORNIA",1911,57
"COLORADO",1911,30
"CONNECTICUT",1911,65
"DELAWARE",1911,52
"FLORIDA",1911,24
"GEORGIA",1911,18
"IDAHO",1911,46
"ILLINOIS",1911,112
"INDIANA",1911,77
"IOWA",1911,100
"KANSAS",1911,41
"KENTUCKY",1911,29
"LOUISIANA",1911,24
"MAINE",1911,26
"MARYLAND",1911,49
"MASSACHUSETTS",1911,69
"MICHIGAN",1911,49
"MINNESOTA",1911,48
"MISSISSIPPI",1911,19
"MISSOURI",1911,51
"MONTANA",1911,19
"NEBRASKA",1911,48
"NEVADA",1911,16
"NEW HAMPSHIRE",1911,27
"NEW JERSEY",1911,86
"NEW MEXICO",1911,10
"NEW YORK",1911,54
"NORTH CAROLINA",1911,21
"NORTH DAKOTA",1911,29
"OHIO",1911,70
"OKLAHOMA",1911,26
"OREGON",1911,40
"PENNSYLVANIA",1911,56
"RHODE ISLAND",1911,63
"SOUTH CAROLINA",1911,26
"SOUTH DAKOTA",1911,40
"TENNESSEE",1911,25
"TEXAS",1911,17
"UTAH",1911,34
"VERMONT",1911,24
"VIRGINIA",1911,28
"WASHINGTON",1911,50
"WEST VIRGINIA",1911,27
"WISCONSIN",1911,58
"WYOMING",1911,12
"ALABAMA",1912,15
"ARIZONA",1912,35
"ARKANSAS",1912,18
"CALIFORNIA",1912,61
"COLORADO",1912,30
"CONNECTICUT",1912,67
"DELAWARE",1912,53
"FLORIDA",1912,25
"GEORGIA",1912,19
"IDAHO",1912,46
"ILLINOIS",1912,115
"INDIANA",1912,79
"IOWA",1912,104
"KANSAS",1912,42
"KENTUCKY",1912,30
"LOUISIANA",1912,25
"MAINE",1912,26
"MARYLAND",1912,50
"MASSACHUSETTS",1912,70
"MICHIGAN",1912,50
"MINNESOTA",1912,50
"MISSISSIPPI",1912,19
"MISSOURI",1912,53
"MONTANA",1912,19
"NEBRASKA",1912,49
"NEVADA",1912,17
"NEW HAMPSHIRE",1912,27
"NEW JERSEY",1912,87
"NEW MEXICO",1912,9
"NEW YORK",1912,55
"NORTH CAROLINA",1912,22
"NORTH DAKOTA",1912,30
"OHIO",1912,71
"OKLAHOMA",1912,26
"OREGON",1912,41
"PENNSYLVANIA",1912,57
"RHODE ISLAND",1912,63
"SOUTH CAROLINA",1912,27
"SOUTH DAKOTA",1912,41
"TENNESSEE",1912,26
"TEXAS",1912,18
"UTAH",1912,34
"VERMONT",1912,25
"VIRGINIA",1912,29
"WASHINGTON",1912,51
"WEST VIRGINIA",1912,28
"WISCONSIN",1912,59
"WYOMING",1912,12
"ALABAMA",1913,15
"ARIZONA",1913,34
"ARKANSAS",1913,19
"CALIFORNIA",1913,65
"COLORADO",1913,30
"CONNECTICUT",1913,69
"DELAWARE",1913,53
"FLORIDA",1913,26
"GEORGIA",1913,20
"IDAHO",1913,46
"ILLINOIS",1913,119
"INDIANA",1913,81
"IOWA",1913,108
"KANSAS",1913,42
"KENTUCKY",1913,31
"LOUISIANA",1913,25
"MAINE",1913,27
"MARYLAND",1913,51
"MASSACHUSETTS",1913,72
"MICHIGAN",1913,50
"MINNESOTA",1913,53
"MISSISSIPPI",1913,20
"MISSOURI",1913,54
"MONTANA",1913,19
"NEBRASKA",1913,50
"NEVADA",1913,18
"NEW HAMPSHIRE",1913,28
"NEW JERSEY",1913,88
"NEW MEXICO",1913,9
"NEW YORK",1913,55
"NORTH CAROLINA",1913,23
"NORTH DAKOTA",1913,31
"OHIO",1913,73
"OKLAHOMA",1913,27
"OREGON",1913,41
"PENNSYLVANIA",1913,57
"RHODE ISLAND",1913,64
"SOUTH CAROLINA",1913,26
"SOUTH DAKOTA",1913,43
"TENNESSEE",1913,27
"TEXAS",1913,19
"UTAH",1913,34
"VERMONT",1913,25
"VIRGINIA",1913,30
"WASHINGTON",1913,52
"WEST VIRGINIA",1913,29
"WISCONSIN",1913,61
"WYOMING",1913,12
"ALABAMA",1914,16
"ARIZONA",1914,32
"ARKANSAS",1914,19
"CALIFORNIA",1914,70
"COLORADO",1914,28
"CONNECTICUT",1914,71
"DELAWARE",1914,51
"FLORIDA",1914,27
"GEORGIA",1914,20
"IDAHO",1914,44
"ILLINOIS",1914,123
"INDIANA",1914,82
"IOWA",1914,113
"KANSAS",1914,41
"KENTUCKY",1914,32
"LOUISIANA",1914,24
"MAINE",1914,25
"MARYLAND",1914,52
"MASSACHUSETTS",1914,73
"MICHIGAN",1914,52
"MINNESOTA",1914,55
"MISSISSIPPI",1914,20
"MISSOURI",1914,56
"MONTANA",1914,20
"NEBRASKA",1914,51
"NEVADA",1914,19
"NEW HAMPSHIRE",1914,28
"NEW JERSEY",1914,90
"NEW MEXICO",1914,8
"NEW YORK",1914,55
"NORTH CAROLINA",1914,24
"NORTH DAKOTA",1914,31
"OHIO",1914,73
"OKLAHOMA",1914,27
"OREGON",1914,42
"PENNSYLVANIA",1914,58
"RHODE ISLAND",1914,63
"SOUTH CAROLINA",1914,27
"SOUTH DAKOTA",1914,43
"TENNESSEE",1914,28
"TEXAS",1914,20
"UTAH",1914,32
"VERMONT",1914,24
"VIRGINIA",1914,30
"WASHINGTON",1914,53
"WEST VIRGINIA",1914,29
"WISCONSIN",1914,62
"WYOMING",1914,12
"ALABAMA",1915,15
"ARIZONA",1915,29
"ARKANSAS",1915,18
"CALIFORNIA",1915,71
"COLORADO",1915,26
"CONNECTICUT",1915,70
"DELAWARE",1915,52
"FLORIDA",1915,25
"GEORGIA",1915,18
"IDAHO",1915,42
"ILLINOIS",1915,121
"INDIANA",1915,81
"IOWA",1915,121
"KANSAS",1915,43
"KENTUCKY",1915,31
"LOUISIANA",1915,23
"MAINE",1915,25
"MARYLAND",1915,52
"MASSACHUSETTS",1915,70
"MICHIGAN",1915,52
"MINNESOTA",1915,56
"MISSISSIPPI",1915,19
"MISSOURI",1915,55
"MONTANA",1915,19
"NEBRASKA",1915,50
"NEVADA",1915,19
"NEW HAMPSHIRE",1915,28
"NEW JERSEY",1915,87
"NEW MEXICO",1915,8
"NEW YORK",1915,54
"NORTH CAROLINA",1915,25
"NORTH DAKOTA",1915,31
"OHIO",1915,77
"OKLAHOMA",1915,25
"OREGON",1915,40
"PENNSYLVANIA",1915,56
"RHODE ISLAND",1915,64
"SOUTH CAROLINA",1915,25
"SOUTH DAKOTA",1915,42
"TENNESSEE",1915,27
"TEXAS",1915,19
"UTAH",1915,31
"VERMONT",1915,26
"VIRGINIA",1915,29
"WASHINGTON",1915,51
"WEST VIRGINIA",1915,29
"WISCONSIN",1915,62
"WYOMING",1915,12
"ALABAMA",1916,15
"ARIZONA",1916,26
"ARKANSAS",1916,21
"CALIFORNIA",1916,74
"COLORADO",1916,28
"CONNECTICUT",1916,72
"DELAWARE",1916,54
"FLORIDA",1916,27
"GEORGIA",1916,21
"IDAHO",1916,43
"ILLINOIS",1916,124
"INDIANA",1916,88
"IOWA",1916,137
"KANSAS",1916,45
"KENTUCKY",1916,34
"LOUISIANA",1916,26
"MAINE",1916,26
"MARYLAND",1916,55
"MASSACHUSETTS",1916,71
"MICHIGAN",1916,55
"MINNESOTA",1916,63
"MISSISSIPPI",1916,22
"MISSOURI",1916,58
"MONTANA",1916,18
"NEBRASKA",1916,51
"NEVADA",1916,19
"NEW HAMPSHIRE",1916,27
"NEW JERSEY",1916,89
"NEW MEXICO",1916,8
"NEW YORK",1916,55
"NORTH CAROLINA",1916,27
"NORTH DAKOTA",1916,33
"OHIO",1916,81
"OKLAHOMA",1916,27
"OREGON",1916,40
"PENNSYLVANIA",1916,58
"RHODE ISLAND",1916,66
"SOUTH CAROLINA",1916,27
"SOUTH DAKOTA",1916,44
"TENNESSEE",1916,29
"TEXAS",1916,19
"UTAH",1916,33
"VERMONT",1916,29
"VIRGINIA",1916,34
"WASHINGTON",1916,52
"WEST VIRGINIA",1916,29
"WISCONSIN",1916,69
"WYOMING",1916,11
"ALABAMA",1917,16
"ARIZONA",1917,26
"ARKANSAS",1917,25
"CALIFORNIA",1917,82
"COLORADO",1917,29
"CONNECTICUT",1917,79
"DELAWARE",1917,58
"FLORIDA",1917,28
"GEORGIA",1917,23
"IDAHO",1917,48
"ILLINOIS",1917,131
"INDIANA",1917,92
"IOWA",1917,143
"KANSAS",1917,48
"KENTUCKY",1917,39
"LOUISIANA",1917,27
"MAINE",1917,29
"MARYLAND",1917,59
"MASSACHUSETTS",1917,79
"MICHIGAN",1917,59
"MINNESOTA",1917,71
"MISSISSIPPI",1917,24
"MISSOURI",1917,61
"MONTANA",1917,18
"NEBRASKA",1917,54
"NEVADA",1917,19
"NEW HAMPSHIRE",1917,28
"NEW JERSEY",1917,95
"NEW MEXICO",1917,8
"NEW YORK",1917,58
"NORTH CAROLINA",1917,31
"NORTH DAKOTA",1917,34
"OHIO",1917,85
"OKLAHOMA",1917,30
"OREGON",1917,41
"PENNSYLVANIA",1917,63
"RHODE ISLAND",1917,69
"SOUTH CAROLINA",1917,30
"SOUTH DAKOTA",1917,47
"TENNESSEE",1917,32
"TEXAS",1917,22
"UTAH",1917,36
"VERMONT",1917,32
"VIRGINIA",1917,37
"WASHINGTON",1917,56
"WEST VIRGINIA",1917,31
"WISCONSIN",1917,73
"WYOMING",1917,11
"ALABAMA",1918,20
"ARIZONA",1918,27
"ARKANSAS",1918,29
"CALIFORNIA",1918,86
"COLORADO",1918,29
"CONNECTICUT",1918,84
"DELAWARE",1918,62
"FLORIDA",1918,33
"GEORGIA",1918,27
"IDAHO",1918,54
"ILLINOIS",1918,140
"INDIANA",1918,101
"IOWA",1918,155
"KANSAS",1918,51
"KENTUCKY",1918,44
"LOUISIANA",1918,34
"MAINE",1918,30
"MARYLAND",1918,64
"MASSACHUSETTS",1918,81
"MICHIGAN",1918,66
"MINNESOTA",1918,80
"MISSISSIPPI",1918,26
"MISSOURI",1918,66
"MONTANA",1918,19
"NEBRASKA",1918,62
"NEVADA",1918,21
"NEW HAMPSHIRE",1918,30
"NEW JERSEY",1918,98
"NEW MEXICO",1918,8
"NEW YORK",1918,60
"NORTH CAROLINA",1918,36
"NORTH DAKOTA",1918,36
"OHIO",1918,94
"OKLAHOMA",1918,34
"OREGON",1918,44
"PENNSYLVANIA",1918,65
"RHODE ISLAND",1918,73
"SOUTH CAROLINA",1918,34
"SOUTH DAKOTA",1918,51
"TENNESSEE",1918,38
"TEXAS",1918,23
"UTAH",1918,37
"VERMONT",1918,33
"VIRGINIA",1918,41
"WASHINGTON",1918,59
"WEST VIRGINIA",1918,34
"WISCONSIN",1918,78
"WYOMING",1918,14
"ALABAMA",1919,22
"ARIZONA",1919,27
"ARKANSAS",1919,33
"CALIFORNIA",1919,89
"COLORADO",1919,30
"CONNECTICUT",1919,88
"DELAWARE",1919,64
"FLORIDA",1919,37
"GEORGIA",1919,35
"IDAHO",1919,59
"ILLINOIS",1919,153
"INDIANA",1919,106
"IOWA",1919,171
"KANSAS",1919,55
"KENTUCKY",1919,52
"LOUISIANA",1919,38
"MAINE",1919,33
"MARYLAND",1919,67
"MASSACHUSETTS",1919,85
"MICHIGAN",1919,67
"MINNESOTA",1919,86
"MISSISSIPPI",1919,31
"MISSOURI",1919,72
"MONTANA",1919,20
"NEBRASKA",1919,71
"NEVADA",1919,24
"NEW HAMPSHIRE",1919,31
"NEW JERSEY",1919,101
"NEW MEXICO",1919,8
"NEW YORK",1919,62
"NORTH CAROLINA",1919,42
"NORTH DAKOTA",1919,37
"OHIO",1919,96
"OKLAHOMA",1919,36
"OREGON",1919,46
"PENNSYLVANIA",1919,67
"RHODE ISLAND",1919,76
"SOUTH CAROLINA",1919,46
"SOUTH DAKOTA",1919,57
"TENNESSEE",1919,44
"TEXAS",1919,26
"UTAH",1919,42
"VERMONT",1919,34
"VIRGINIA",1919,49
"WASHINGTON",1919,61
"WEST VIRGINIA",1919,38
"WISCONSIN",1919,83
"WYOMING",1919,17
"ALABAMA",1920,28
"ARIZONA",1920,30
"ARKANSAS",1920,43
"CALIFORNIA",1920,105
"COLORADO",1920,35
"CONNECTICUT",1920,100
"DELAWARE",1920,69
"FLORIDA",1920,47
"GEORGIA",1920,45
"IDAHO",1920,69
"ILLINOIS",1920,188
"INDIANA",1920,126
"IOWA",1920,227
"KANSAS",1920,62
"KENTUCKY",1920,60
"LOUISIANA",1920,47
"MAINE",1920,38
"MARYLAND",1920,81
"MASSACHUSETTS",1920,99
"MICHIGAN",1920,75
"MINNESOTA",1920,109
"MISSISSIPPI",1920,43
"MISSOURI",1920,88
"MONTANA",1920,22
"NEBRASKA",1920,88
"NEVADA",1920,28
"NEW HAMPSHIRE",1920,35
"NEW JERSEY",1920,110
"NEW MEXICO",1920,9
"NEW YORK",1920,69
"NORTH CAROLINA",1920,54
"NORTH DAKOTA",1920,41
"OHIO",1920,113
"OKLAHOMA",1920,43
"OREGON",1920,50
"PENNSYLVANIA",1920,75
"RHODE ISLAND",1920,80
"SOUTH CAROLINA",1920,65
"SOUTH DAKOTA",1920,71
"TENNESSEE",1920,53
"TEXAS",1920,32
"UTAH",1920,48
"VERMONT",1920,38
"VIRGINIA",1920,55
"WASHINGTON",1920,69
"WEST VIRGINIA",1920,43
"WISCONSIN",1920,99
"WYOMING",1920,20
"ALABAMA",1921,23
"ARIZONA",1921,25
"ARKANSAS",1921,36
"CALIFORNIA",1921,108
"COLORADO",1921,33
"CONNECTICUT",1921,100
"DELAWARE",1921,65
"FLORIDA",1921,53
"GEORGIA",1921,35
"IDAHO",1921,64
"ILLINOIS",1921,181
"INDIANA",1921,117
"IOWA",1921,210
"KANSAS",1921,62
"KENTUCKY",1921,52
"LOUISIANA",1921,39
"MAINE",1921,36
"MARYLAND",1921,73
"MASSACHUSETTS",1921,98
"MICHIGAN",1921,76
"MINNESOTA",1921,108
"MISSISSIPPI",1921,30
"MISSOURI",1921,83
"MONTANA",1921,19
"NEBRASKA",1921,82
"NEVADA",1921,25
"NEW HAMPSHIRE",1921,35
"NEW JERSEY",1921,116
"NEW MEXICO",1921,8
"NEW YORK",1921,66
"NORTH CAROLINA",1921,48
"NORTH DAKOTA",1921,40
"OHIO",1921,96
"OKLAHOMA",1921,41
"OREGON",1921,51
"PENNSYLVANIA",1921,72
"RHODE ISLAND",1921,82
"SOUTH CAROLINA",1921,53
"SOUTH DAKOTA",1921,69
"TENNESSEE",1921,45
"TEXAS",1921,29
"UTAH",1921,40
"VERMONT",1921,39
"VIRGINIA",1921,54
"WASHINGTON",1921,66
"WEST VIRGINIA",1921,40
"WISCONSIN",1921,100
"WYOMING",1921,16
"ALABAMA",1922,21
"ARIZONA",1922,22
"ARKANSAS",1922,35
"CALIFORNIA",1922,109
"COLORADO",1922,31
"CONNECTICUT",1922,106
"DELAWARE",1922,62
"FLORIDA",1922,52
"GEORGIA",1922,28
"IDAHO",1922,54
"ILLINOIS",1922,149
"INDIANA",1922,95
"IOWA",1922,174
"KANSAS",1922,55
"KENTUCKY",1922,46
"LOUISIANA",1922,34
"MAINE",1922,35
"MARYLAND",1922,73
"MASSACHUSETTS",1922,100
"MICHIGAN",1922,75
"MINNESOTA",1922,95
"MISSISSIPPI",1922,30
"MISSOURI",1922,71
"MONTANA",1922,17
"NEBRASKA",1922,71
"NEVADA",1922,23
"NEW HAMPSHIRE",1922,37
"NEW JERSEY",1922,113
"NEW MEXICO",1922,7
"NEW YORK",1922,65
"NORTH CAROLINA",1922,41
"NORTH DAKOTA",1922,38
"OHIO",1922,91
"OKLAHOMA",1922,36
"OREGON",1922,48
"PENNSYLVANIA",1922,68
"RHODE ISLAND",1922,83
"SOUTH CAROLINA",1922,36
"SOUTH DAKOTA",1922,58
"TENNESSEE",1922,42
"TEXAS",1922,25
"UTAH",1922,39
"VERMONT",1922,38
"VIRGINIA",1922,48
"WASHINGTON",1922,62
"WEST VIRGINIA",1922,37
"WISCONSIN",1922,94
"WYOMING",1922,15
"ALABAMA",1923,23
"ARIZONA",1923,18
"ARKANSAS",1923,35
"CALIFORNIA",1923,110
"COLORADO",1923,29
"CONNECTICUT",1923,106
"DELAWARE",1923,65
"FLORIDA",1923,59
"GEORGIA",1923,27
"IDAHO",1923,52
"ILLINOIS",1923,146
"INDIANA",1923,93
"IOWA",1923,168
"KANSAS",1923,54
"KENTUCKY",1923,45
"LOUISIANA",1923,36
"MAINE",1923,37
"MARYLAND",1923,74
"MASSACHUSETTS",1923,102
"MICHIGAN",1923,75
"MINNESOTA",1923,89
"MISSISSIPPI",1923,29
"MISSOURI",1923,69
"MONTANA",1923,16
"NEBRASKA",1923,68
"NEVADA",1923,21
"NEW HAMPSHIRE",1923,34
"NEW JERSEY",1923,113
"NEW MEXICO",1923,7
"NEW YORK",1923,67
"NORTH CAROLINA",1923,50
"NORTH DAKOTA",1923,35
"OHIO",1923,92
"OKLAHOMA",1923,34
"OREGON",1923,45
"PENNSYLVANIA",1923,69
"RHODE ISLAND",1923,83
"SOUTH CAROLINA",1923,38
"SOUTH DAKOTA",1923,50
"TENNESSEE",1923,45
"TEXAS",1923,24
"UTAH",1923,39
"VERMONT",1923,36
"VIRGINIA",1923,54
"WASHINGTON",1923,59
"WEST VIRGINIA",1923,39
"WISCONSIN",1923,92
"WYOMING",1923,13
"ALABAMA",1924,23
"ARIZONA",1924,16
"ARKANSAS",1924,34
"CALIFORNIA",1924,112
"COLORADO",1924,26
"CONNECTICUT",1924,110
"DELAWARE",1924,61
"FLORIDA",1924,70
"GEORGIA",1924,27
"IDAHO",1924,49
"ILLINOIS",1924,137
"INDIANA",1924,89
"IOWA",1924,155
"KANSAS",1924,51
"KENTUCKY",1924,43
"LOUISIANA",1924,35
"MAINE",1924,38
"MARYLAND",1924,75
"MASSACHUSETTS",1924,104
"MICHIGAN",1924,73
"MINNESOTA",1924,85
"MISSISSIPPI",1924,28
"MISSOURI",1924,63
"MONTANA",1924,15
"NEBRASKA",1924,63
"NEVADA",1924,19
"NEW HAMPSHIRE",1924,36
"NEW JERSEY",1924,125
"NEW MEXICO",1924,7
"NEW YORK",1924,68
"NORTH CAROLINA",1924,50
"NORTH DAKOTA",1924,31
"OHIO",1924,92
"OKLAHOMA",1924,32
"OREGON",1924,45
"PENNSYLVANIA",1924,70
"RHODE ISLAND",1924,86
"SOUTH CAROLINA",1924,41
"SOUTH DAKOTA",1924,46
"TENNESSEE",1924,44
"TEXAS",1924,26
"UTAH",1924,38
"VERMONT",1924,35
"VIRGINIA",1924,53
"WASHINGTON",1924,58
"WEST VIRGINIA",1924,40
"WISCONSIN",1924,90
"WYOMING",1924,11
"ALABAMA",1925,25
"ARIZONA",1925,13
"ARKANSAS",1925,35
"CALIFORNIA",1925,115
"COLORADO",1925,25
"CONNECTICUT",1925,110
"DELAWARE",1925,66
"FLORIDA",1925,82
"GEORGIA",1925,27
"IDAHO",1925,46
"ILLINOIS",1925,137
"INDIANA",1925,85
"IOWA",1925,149
"KANSAS",1925,50
"KENTUCKY",1925,43
"LOUISIANA",1925,37
"MAINE",1925,38
"MARYLAND",1925,77
"MASSACHUSETTS",1925,108
"MICHIGAN",1925,71
"MINNESOTA",1925,80
